tconst,averagerating,numvotes,directors,writers
tt3139700,8.2,20,nm4764351,nm4764351
tt3140100,7.1,15704,nm1031708,"nm1064048,nm1065452,nm0647695,nm1031708"
tt3144266,3.5,1024,nm2096009,nm2096009
tt3145704,5.8,5,nm0410493,"nm0410493,nm0411226"
tt3146264,4.9,24,nm2488601,"nm2938779,nm3067264,nm5904246,nm2488601"
tt3150852,6.9,28,nm5408884,nm5408884
tt3155922,6.9,48,nm1331153,nm6114166
tt3156000,5.1,162,nm1160071,nm1160071
tt3157640,3.3,301,nm1254500,"nm0844981,nm1254500"
tt3158992,7.3,32,"nm5955692,nm5918148","nm5955692,nm5918148"
tt3163560,7.6,17,nm2542882,nm2542882
tt3165186,6.6,32,nm4175086,nm5918763
tt3168674,8.8,15,nm1713577,"nm2806016,nm1713577"
tt3171758,7.4,12,nm0319690,nm0319690
tt3175350,5.3,60,nm0375420,"nm0375420,nm4182443"
tt3175452,6.1,122,nm0950841,nm0950841
tt3177074,6.7,6,"nm6110022,nm5936405,nm4209058","nm6110022,nm4209058,nm5936405"
tt3181748,7.5,13,nm2957819,"nm4104182,nm2957819"
tt3185154,6.4,282,"nm0913876,nm2817354","nm1233619,nm2417183,nm2817354,nm1963808"
tt3185648,7.1,27,nm5945987,"nm5945994,nm5945987"
tt3194382,5.7,22,nm4264418,"nm4264418,nm0841112"
tt3195370,5.9,88,nm0200370,"nm0200370,nm0626505"
tt3198866,5.8,53,nm2360375,"nm5215804,nm5215232"
tt3198886,4.3,13,nm4263820,"nm4263820,nm5956844"
tt3202366,5.3,633,nm0393394,"nm0393394,nm0653992"
tt3202708,3.3,230,nm1589685,"nm5960090,nm3266029,nm5960089"
tt3207378,8.0,15,nm5964930,"nm5964935,nm5964930,nm5964936"
tt3210114,8.3,6,nm5860761,nm5860761
tt3212026,4.6,182,nm2702576,nm2702576
tt3212670,5.7,307,nm1472698,nm2489486
tt3212706,2.5,30,"nm4160160,nm5704003","nm5704003,nm4160160"
tt3213078,5.7,30,nm2368082,nm2368082
tt3214218,7.4,227,nm3752091,nm3752091
tt3215812,6.8,31,nm1394612,nm1394612
tt3216380,7.0,95,"nm0901640,nm2521285","nm2521285,nm0901640"
tt3219194,6.2,1530,nm5013702,"nm1129765,nm5013702"
tt3222818,7.3,15,nm0130666,nm0130666
tt3226754,8.1,20,nm5984652,nm5984652
tt3226956,5.8,10,nm0420926,nm0420926
tt3230162,6.7,2290,nm0442905,nm0442905
tt3238116,8.5,8,nm2652654,"nm5994955,nm2652654"
tt3243904,6.0,23,nm4381450,"nm4381450,nm4461998,nm4346522"
tt3247234,6.3,51,nm0613403,"nm0613403,nm0953222"
tt3247646,6.8,29,nm3691763,nm3691763
tt3254710,6.9,9,"nm1479857,nm6010611","nm1479857,nm6010611"
tt3258136,8.0,23,"nm6063625,nm0354921,nm5134067","nm6613632,nm6337984,nm5134067"
tt3262112,6.1,74,nm0059698,"nm0059698,nm2169896,nm0410102,nm1201108,nm0664671,nm0690390"
tt3265542,6.9,67,nm4417706,nm6054966
tt3266606,8.6,14,nm4711276,nm4711276
tt3267784,6.3,347,nm2619779,nm1458057
tt3270430,5.0,22,nm2427621,nm2427621
tt3271078,8.2,15,nm2567114,nm2567114
tt3271326,6.2,21,nm5225923,nm5225923
tt3272572,3.7,32,nm3490410,nm3490410
